Feature,Importance
V14,0.34711316
Merchant_Steam,0.04550187
V4,0.03508429
High_Spending_Flag,0.033860534
Operating_System_Android,0.031085342
Browser_Edge,0.024996864
Previous_Fraud_Count,0.024475709
Merchant_Amazon,0.023919834
Country_US,0.023265382
Country_GB,0.022717683
Amount_Bucket_Large,0.020247893
V8,0.019127674
Operating_System_MacOS,0.017130064
Operating_System_Windows,0.016761225
V10,0.015133839
Device_Change,0.015090609
Browser_Firefox,0.013418641
Operating_System_iOS,0.013167917
Login_Failure_Count,0.009605382
V12,0.009555911
Merchant_Category_Retail,0.009300591
Merchant_BestBuy,0.009152622
Rolling_Std_Amount,0.008888987
Amount_Bucket_Medium,0.008550163
V17,0.007983061
Log_Amount,0.007353454
V11,0.007350485
Merchant_Airbnb,0.007140711
Merchant_Category_Travel,0.0069496445
Merchant_Walmart,0.006946352
Merchant_Uber,0.006259271
Merchant_Category_Electronics,0.006061304
Operating_System_Linux,0.005987793
V3,0.0057598664
V13,0.0056073344
Country_IN,0.005485662
Location_Jump,0.005199059
VPN_Detection,0.0051900432
Device_Trust_Score,0.004762985
Country_DE,0.0047048256
Country_AU,0.0044696643
V2,0.0043279403
Merchant_Risk,0.004054
Amount_Bucket_Small,0.003982875
V7,0.003839825
Country_SG,0.0037287076
V19,0.003688814
Rolling_Total_Amount,0.003137009
Amount,0.0030929723
IP_Reputation,0.00287392
Spending_Trend,0.0027509173
V21,0.002661428
V5,0.002636522
Merchant_Diversity,0.0025716007
Merchant_Chargeback_Rate,0.002379127
Merchant_Category_Entertainment,0.0023645377
V22,0.0023356457
Rolling_Avg_Amount,0.002323947
V1,0.002307322
V15,0.002305213
V9,0.002303051
Average_Daily_Spend,0.0022307115
Transactions_Last_Day,0.0022008922
Merchant_Age_Months,0.002034209
Time_Since_Last_Transaction,0.001965715
V26,0.0019457061
V24,0.0019427566
Browser_Safari,0.0018597469
Behavior_Score,0.0017749598
V25,0.0017664288
V28,0.0017409069
Transactions_Last_Hour,0.0017243128
Country_CA,0.0017031722
V23,0.0016953617
Browser_Chrome,0.0016072997
Merchant_Netflix,0.001450605
V16,0.0012845255
V6,0.0012619034
V27,0.0009814922
V20,0.00095820735
International,0.0009148985
High_Risk_Merchant,0.000847731
V18,0.00072887086
Rolling_Max_Amount,0.00067681033
Geo_Risk,0.00066255324
Merchant_Target,0.0006582552
Time,0.0005086149
Password_Reset,0.00046318473
Spending_Volatility,0.000379818
Velocity_Score,0.0003666833
Previous_Transactions,0.00035531653
Rolling_Min_Amount,0.00034904468
Browser_Opera,0.000340285
Rooted_Device,0.000336595
Jailbreak_Detection,0.00025322658
Merchant_Apple,0.0
TOR_Detection,0.0
Merchant_eBay,0.0
Amount_Bucket_Very Large,0.0
Merchant_Category_Marketplace,0.0
Emulator_Detection,0.0
High_Amount,0.0
Merchant_Country_AU,0.0
Merchant_Country_CA,0.0
Merchant_Country_DE,0.0
Merchant_Country_GB,0.0
Merchant_Country_IN,0.0
Merchant_Country_SG,0.0
Merchant_Country_US,0.0
